GeneID	tfA-del t=0	tfA-del t=10	tfA-del t=20	tfA-del t=30	tfA-del t=45	tfA-del t=60	tfA-del t=90	tfA-del t=120
8413	6	30	22	25	15	17	12	18
0140	17	27	26	17	11	8	5	4
6308	37	15	4	2	1	1	1	1
1874	31	6	3	4	3	3	6	5
6509	4	24	25	24	19	9	14	7
9268	48	50	50	50	47	48	49	49
6884	5	23	24	18	8	13	27	12
8881	36	7	9	20	24	27	21	29
7840	47	9	6	9	20	23	15	20
4261	38	38	40	33	32	33	46	32
2795	9	36	33	28	17	15	31	35
2713	12	4	23	38	41	44	36	33
7542	44	48	43	46	34	29	44	43
2539	21	26	27	16	9	12	19	9
5850	14	5	29	48	49	49	25	19
4174	32	25	15	8	6	6	16	28
0561	25	37	32	21	22	19	18	16
7695	20	40	36	27	25	26	34	38
1672	46	43	45	43	40	40	45	45
2029	19	31	20	14	10	4	3	2
2167	23	42	35	35	26	20	24	14
4234	26	19	30	26	37	34	32	26
8022	43	22	37	39	42	43	39	41
0183	28	21	17	13	12	14	10	15
8502	3	28	11	23	18	22	35	42
4414	39	47	47	47	23	10	23	13
3061	30	1	5	7	13	18	7	10
3002	45	44	44	42	35	38	47	46
7937	13	11	14	30	36	36	22	21
8370	2	14	7	5	5	7	40	44
9219	11	2	21	34	43	46	29	34
1902	1	3	2	3	4	11	13	22
5225	42	32	42	44	46	47	43	47
1362	16	17	13	10	21	25	9	31
6785	7	8	10	19	31	30	8	8
3589	27	34	12	6	7	5	2	3
8585	15	13	8	11	28	32	11	25
3065	18	18	28	40	48	45	38	37
4066	33	29	34	29	38	35	37	40
6657	35	20	18	15	16	21	20	24
1657	50	49	49	45	50	50	50	50
0591	24	35	31	22	14	16	17	11
3400	22	39	39	31	27	24	26	27
6984	29	41	48	49	44	42	41	23
6322	40	46	41	37	29	28	33	36
6225	34	33	38	36	39	37	42	39
5669	49	45	46	41	33	39	48	48
2507	10	12	1	1	2	2	4	6
1038	41	16	19	12	30	31	28	30
5964	8	10	16	32	45	41	30	17
