GeneID	tfA-del t=0	tfA-del t=10	tfA-del t=20	tfA-del t=30	tfA-del t=45	tfA-del t=60	tfA-del t=90	tfA-del t=120
8413	9	31	37	32	14	23	19	17
0140	10	25	12	11	9	6	7	4
6308	4	6	1	1	1	1	1	1
1874	37	8	3	4	4	4	4	5
6509	3	24	29	27	17	10	12	8
9268	44	50	50	50	49	45	49	48
6884	8	26	28	19	12	17	23	15
8881	47	7	11	25	29	28	24	36
7840	49	14	14	13	18	15	20	9
4261	48	36	41	23	34	33	41	40
2795	14	30	33	37	16	14	30	32
2713	31	4	19	46	45	44	39	42
7542	43	49	46	45	37	30	44	37
2539	30	29	27	14	10	8	17	10
5850	13	5	15	39	44	36	16	11
4174	29	28	22	10	5	7	10	14
0561	27	41	34	22	20	19	15	19
7695	20	42	39	28	25	27	32	35
1672	50	37	38	34	41	43	47	46
2029	6	32	8	8	8	2	3	2
2167	25	33	24	35	27	20	27	16
4234	26	23	20	30	40	42	37	39
8022	15	11	13	24	35	39	31	28
0183	36	27	26	16	19	9	13	12
8502	5	43	42	41	28	26	21	34
4414	18	47	47	43	23	16	26	18
3061	40	1	5	7	21	18	6	6
3002	46	38	43	33	38	41	45	47
7937	23	10	16	36	36	37	28	27
8370	2	20	21	9	6	13	35	33
9219	17	2	9	48	50	49	38	49
1902	1	3	2	5	7	11	9	24
5225	38	22	35	38	43	46	48	44
1362	41	35	36	21	22	22	8	22
6785	7	9	10	18	31	31	14	20
3589	21	48	23	3	2	3	2	3
8585	12	12	6	12	26	25	11	30
3065	33	17	31	42	47	48	43	45
4066	34	19	17	17	24	29	34	29
6657	42	18	18	15	11	21	22	21
1657	39	46	48	44	48	50	50	50
0591	22	34	30	20	13	12	18	13
3400	19	40	45	40	39	35	36	38
6984	28	44	49	49	42	40	42	26
6322	32	45	40	29	30	32	33	31
6225	16	15	32	26	32	34	29	23
5669	45	39	44	31	33	38	46	43
2507	11	16	4	2	3	5	5	7
1038	35	21	7	6	15	24	25	25
5964	24	13	25	47	46	47	40	41
